hotel_name,location,price,original_price,ratings,score,reviews,rooms,beds,breakfast,transportation,metro_access,cancellation_policy,center_distance,tax_charges
Airport Hotel Grand,"Mahipalpur, New Delhi","19,447","35,358",Very good,8.0,"3,135",Executive Triple Room,"3 beds (1 extra-large double, 1 bunk bed, 1 futon)",,Hot tub/Jacuzzi,Metro access,Free cancellation,13.9 km from centre,972
"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi","171,000","171,000",Very good,8.3,878,"Towers Room, Concierge level, Larger Guest room with complimentary lounge access, 1 King",1 extra-large double bed,Breakfast included,Swimming pool,No Metro,No prepayment needed – pay at the property,6.4 km from centre,"30,780"
Hide-In Hostel Delhi,"Saket, New Delhi","31,915","39,894",Very good,8.0,482,Superior King Room,1 extra-large double bed,,Free parking,Metro access,,12.8 km from centre,"1,596"
Super Hotel O Dwarka Metro,"Dwarka, New Delhi","8,049","12,777",Good,7.6,99,Classic Triple Room,1 large double bed,,,Metro access,Free cancellation,19.9 km from centre,410
Sheraton New Delhi Hotel,"Saket, New Delhi","124,000","124,000",Fabulous,8.7,864,King Room,1 extra-large double bed,Breakfast included,Free parking,No Metro,No prepayment needed – pay at the property,12 km from centre,"22,320"
Super Collection O Tilak Nagar Near Pacific Mall,"West Delhi, New Delhi","9,906","15,723",Review score,6.5,159,Classic Triple Room,1 large double bed,,,No Metro,Free cancellation,12.1 km from centre,500
Hotel New King International- Free Airport Pick up,"Paharganj, New Delhi (Chandni Chowk)","25,232","36,045",Superb,9.1,69,Superior Double  Room with Free Airport pick up,Entire studio • 1 bathroom • 30 m²1 double bed,,,Metro access,,1.1 km from centre,"1,262"
Hotel The Infinity Near Delhi Airport,"Aerocity, New Delhi (Aerocity)","10,581","17,636",Review score,5.5,8,Family Room with Bath,"2 beds (1 single, 1 double)",Breakfast included,Free parking,Metro access,Free cancellation,13.4 km from centre,529
Hotel IVY Near Delhi Airport,"Mahipalpur, New Delhi","12,779","42,596",Review score,5.5,126,Deluxe King Room,1 large double bed,Breakfast included,Free parking,No Metro,Free cancellation,13.4 km from centre,639
Hotel Paragon Suites Delhi Airport With One Way Airport Trasnfer,New Delhi,"20,157","33,596",Very good,8.3,46,Family Room with Side Sea View,2 large double beds,,,No Metro,Free cancellation,15.1 km from centre,"1,008"
Hindustan By Backpackers Heaven - Traveller's Choice Award 2025 Best of Best Winning Hotel,"Paharganj, New Delhi (Chandni Chowk)","20,611","25,764",Very good,8.4,"1,857",Superior Triple Room,"2 beds (1 double, 1 bunk bed)",Breakfast included,,Metro access,Free cancellation,1.3 km from centre,"1,031"
Hotel Chanakya Delhi Aerocity,New Delhi,"35,095","38,994",Exceptional,9.5,4,Executive Triple Room,"2 beds (1 double, 1 futon)",,Free parking,No Metro,Free cancellation,14.8 km from centre,"1,755"
"Taj Mahal, New Delhi",New Delhi,"172,570","172,570",Superb,9.3,"1,396",Luxury Room City View Twin,1 single bed,Breakfast included,Swimming pool,No Metro,No prepayment needed – pay at the property,3.3 km from centre,"31,063"
Hotel THE Aela International Airport,New Delhi,"13,299","13,299",Review score,5.4,11,Family Room,"2 beds (1 extra-large double, 1 sofa bed)",Breakfast included,Free parking,No Metro,Free cancellation,14.8 km from centre,665
Hotel Moon Chanakyapuri Satya Niketan- Couple Friendly,New Delhi,"6,294","6,294",Review score,4.3,172,Standard Double Room,"2 beds (1 double, 1 extra-large double)",,,Metro access,Free cancellation,7.3 km from centre,315
